id,topic_id,text,type,effectiveness,lang,tok_len
28a94d3ee425,007ACE74B050,"though people were not satified about how the landform was a natural landform, in all, we new that alieans did not form the face. i would like to know how the landform was formed. we know now that life on mars doesn't exist.",Concluding Statement,Adequate,en,43
9fd314f638e5,00944C693682,"individual car use isn't bad. millions of individuals using cars, however, is very bad. note the emphasis. even just making a concious effort to car pool, bike to work or school, use public transportation, or use some sort of alternative transportation could be enough to clear up the air of some of it's emissions, keep oneself and others happier and less stressed, save time and money, and improve their city all in one little decision. it's just a matter of going ahead and doing it, so what is stopping anyone from going out and making that change now? be the change you want to see and limit your car usage now.",Concluding Statement,Effective,en,111
af494e4e0b4f,00BD97EA4041,to conclusion computers in school shouldn't detect emotions of the students. i have proved my point on why it shouldn't be in school. i have given you several examples from the passage to prove this point. it shoudn't matter if the computer knows how your feeling.,Concluding Statement,Adequate,en,46
9c3b9503c9a4,00C6E82FE5BA,"the reasons why i said that this would be unvalueable is because the reason of security,like anything could go wrong because everything in technology can be unexpected. thats why i chose the reasons i did.",Concluding Statement,Adequate,en,35
b199e5df1815,013B9AA6B9DB,"so, in conclusion, the famous face on mars was a natural landform. this is supported by the pictures taken in 1998 and 2001. the image captured in 2001 could also possibly see other objects if there were any. so, the face not a sign of life on mars.",Concluding Statement,Adequate,en,48
03294d2fcc6a,0158970BC5D2,"it is important to keep students' minds engaged over the summer break, so they don't feel completely disoriented the following school year. i know from personal experience that the break between school years has left me disinterested in continuing to learn and work for the next school year. however, giving students teacher-designed assignments will stimulate their brains and keep them focused over the break.",Concluding Statement,Adequate,en,64
5431a13b4893,015BB7DA58EE,in conclution we could make our childrens classroom experiences more enjoyable. even if it is a little creepy to have a software that watches you for your whole classroom experience. but it mostlikely is worth it to make shcool more enjoyable for the kids in them.,Concluding Statement,Adequate,en,46
d64021d415d7,0167BBA84E43,just because it looks as if it is something could not just be made out of a human face. if they had more evidence then it would be believeable but until then my opnion is still that it is a land form.,Concluding Statement,Adequate,en,42
6d9d88dcdb54,0168325D0E24,"in all actuality, how many people dont realize how long they spend of their life in a car? if one day all cars in the world were banned, how would everyone recate? some people may want to give up their cars, some people may not want to give up their cars",Concluding Statement,Adequate,en,51
40556d737dae,0168325D0E24,"in one acrtical, it say there is a place where no cars are aloud but it also says that that place is an experimental project. in the end cars are just no as popular as they used to be. is that a good or bad thing, you decide.",Concluding Statement,Adequate,en,48
826b1039775a,01AFC67DF935,so whether you like it or not everything has consequences.,Concluding Statement,Adequate,en,10
c154a240940d,01B52B1D14F8,human vs technology there you go.,Concluding Statement,Adequate,en,6
6d6e1d40b9b1,01E9D9CD5CBF,"the study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face. facial expression not only expresses emtions but also even help reproduce them. the thought of making faces could reveal so much about the science of emotions.",Concluding Statement,Adequate,en,57
7a19c3831933,01F69867D1BE,"overall schools that require summer break projects should move towards student designed projects over teacher designed ones. when students have the ability to choose from certain topics and units they can decide what is best for them. using the project to work on material that they were intrested in through out the year and want to further research and learn about or use the oppurtunity to study material that the student had trouble with over the school year so that they can be caught up for next year. furthermore students can create projects that will help them with future cirriculum for next year. in conclusion schools should use student designed projects because it allows the student to choose how they want to utilize the time for either further studying a topic, going back and reviewing areas they had trouble in or learning future topics for next school year.",Concluding Statement,Effective,en,148
73c183f965dd,021663FD2F2E,therefore this new technology is valuable for the students in classrooms.,Concluding Statement,Adequate,en,11
66e5faf2eabb,022EE73C4244,"the end of summer is not fun for anyone involved, students and teachers alike. why would we want to dampen the vacation with unexciting work looming over students heads the whole time. students should feel excited to go back to school and be they should have something to look foward to sharing with their classes. it is common knowledge that doing work that is uninteresting to you lowers your performance and makes the work that much more of a chore. with student selected summer assignments we can prevent that and create a new wave of excitement about returning to school.",Concluding Statement,Effective,en,100
927aa74c8d21,023CEE52C08C,scientest are working hard to accheve this goal to explore this harsh mystery planet. they accept the challanges that come with it and they strive to succeed not only to gain insight but to quench their curiosity that all humans have about this planet and the possibilities that it could lead to.,Concluding Statement,Ineffective,en,52
a9d46712d873,02A3E737A10F,i think that the principal should not decided that every single gosh darn student should do an extracurricular activity.,Concluding Statement,Ineffective,en,19
11fba8973075,037059DAD8EF,"in conclusion the facial action coding system should be used in classrooms for students. they will help improve their interest in topics at school, help the students understand better, it will help students be more possitive, and finally is will have a big impact on all of us. the facial action coding system would be a new way of gaining more knowledge. it will help students and teachers understand eachother better. overall this would be a positive impact amoung us all.",Concluding Statement,Adequate,en,81
7c17dbb34874,0411A43FF828,"the author backs up his suggestion with great evidence, but does it in a realistic way. he realizes how dangerous it is to study, but pushes for it by bringing up how little we know about venus. the author's suggestion is correct and scientists need to find a way to study venus.",Concluding Statement,Adequate,en,52
0f1fbaff772e,04147BBED91A,"reaching the final conclusion is up to you. is a computer being able to identify your emotions useful in classrooms, or not?",Concluding Statement,Adequate,en,22
8dafd6deb7b7,044FD1AE9230,"there are many advantages, going through the united states in to europe. those are some of the advantages of limiting car usage.",Concluding Statement,Adequate,en,22
9ef03ff895c2,04B4209D8A34,"there is no reason why students shouldn't join clubs. activities at your school can help you be involved, make friends, and you could enjoy the club. this is why i agree that students should have to at least participate in one extracurricular activity.",Concluding Statement,Adequate,en,43
b670edfc1907,04CD9AA9ECC5,in conclusion to the challenge of venus i say it is a time waster and we will not be able to see the whole planet of venus with only a few hours once every few decades.,Concluding Statement,Adequate,en,36
e7ff9a6ca179,0548DE784D69,venus is one of the most challenging exploring planet on the slolar system. if we can find a way to overcome this challenges we should be able to over come all other planet on the solar system challegings this we dont have to worry about this earth twin to affect our own earth.,Concluding Statement,Ineffective,en,53
a7985f5bb26c,0557D6B9B3E5,in conclusion the author did an amazing job by giving us (the reader) multiple reasons on why we on earth should go and venture out in our solar system and figure out what venus is truly all about. and maybe we'll be able to create this planet into a new habitat. the only way we shall know is if we are able to venture out and do such.,Concluding Statement,Adequate,en,68
5809e26d9b9e,0581A6F4E804,"the system would be a good way to teach students at schools or at home if possible. now the students will not be bored in class,neither will they be confused because the system would be able to recognize it and change it",Concluding Statement,Adequate,en,42
30e9374f29fc,05C9186E77DF,"in conclusion, i personally think that with the help of this technology teachers will be able to read into their students emotions better. also, teachers would be able to tell if students are lying to them. the value of this technolgy would be able to help them read the facial expressions of many people with diasbilites who have trouble conveying emotions. i beleive that is this type of technology were to be used in a classroom that it would be a great help to many teachers.",Concluding Statement,Adequate,en,86
3610b426dbec,05E95229344B,"the point is most of the kids just don't commit or have time or family events, everyone is different you can't just expect every kid just to go. so no i dont agree with what the princlai said at all and it should be there for kids to choose it or not for them to force it on the kids.",Concluding Statement,Adequate,en,60
25e66e444fd3,071BF63AF332,"schools should make it so all students have to participate in an extracurricular activity such as a club or a sport because it helps students make new friends and build relationships, it can introduce students to something they've overlooked in the past, and it can increase social activity among students.",Concluding Statement,Effective,en,50
