id,topic_id,text,type,effectiveness,lang,tok_len
9704a709b505,007ACE74B050,"on my perspective, i think that the face is a natural landform because i dont think that there is any life on mars. in these next few paragraphs, i'll be talking about how i think that is is a natural landform",Position,Adequate,en,41
de347c859ab6,00944C693682,"with so many things in this world that few people agree on, this is a nice change to see in regards the removal of so many cars. why would they all agree, one might ask. well, there are plenty of reasons.",Position,Effective,en,41
c20937683442,00BD97EA4041,"no because, why should a computer know how your feeling?",Position,Adequate,en,10
9d03e2bef0ff,00C6E82FE5BA,i think that it wouldn't be valueable to have technology be able to read emotions,Position,Adequate,en,15
c2203a58aa5c,013B9AA6B9DB,"well, some people believe that it was something made by aliens. i am here to prove that it was not.",Position,Adequate,en,20
e713e8b20cf3,0158970BC5D2,summer projects should be teacher-designed,Position,Adequate,en,5
9cdb031bf4c9,015BB7DA58EE,in the following paragraphs they will talk about if we should or should not read students faces to make the classroom experience more enjoyable.,Position,Adequate,en,24
f1f8daa23ba7,0167BBA84E43,"in conclusion the ""face'' to me is still just a land form.",Position,Adequate,en,12
d4e5221d31d2,0168325D0E24,"there are many sides to people giving up their cars. some people are truly happy and some are not. it may not be that bad, i mean how did people manige before cars were even invented",Position,Ineffective,en,36
2afcaec42c9c,01AFC67DF935,"limiting our usage of any type of motorized vehicle, would not only decrease air pollution but it would also help with adults or children that may not exercise enough.",Position,Adequate,en,29
7d71dae9cdbf,01B52B1D14F8,"so, no i don't think it's classroom valuable to use facs.",Position,Adequate,en,11
d149f0653fd1,01F69867D1BE,to improve student input schools should move towards student designed projects so students will be more intrested and and involved in the project.,Position,Effective,en,23
5fabd9b3a221,021663FD2F2E,this new technology is valuable.,Position,Adequate,en,5
fe37cadc0c6b,022EE73C4244,"if teachers gave students the opportunity to discover their own work, and maybe even a passion, students work would be of a higher quality and it might actually have them excited to go back to school.",Position,Effective,en,36
5f20ed34ee51,023CEE52C08C,"in the article ""the challenge of exploring venus"", it tals about how scientest are working on new technology to overcome the chalanges of venus and its complications.",Position,Ineffective,en,27
ba3f708db030,02A3E737A10F,students shouldn't have to participate in one extracurricular activity or any,Position,Adequate,en,11
9312c509fc2f,02DACD6071FD,you have to try this out,Position,Adequate,en,6
bc0f305560fc,02DD203E0599,i strongly feel like drivers shouldn't be able to use their cell phones while operating a vehicle because it can be dangerous for them and everyone else on the road.,Position,Adequate,en,30
9bac6a121820,0300455258CB,"there is a lot of young teenagers and also adults getting into car accidents. its because of our cellular devices, texting while driving.",Position,Adequate,en,23
b8212dd34061,030F2D5F039D,"yes, the use of this technology to read the emotional expressions of students in a classroom is valuable",Position,Adequate,en,18
3c3b0c54835c,037059DAD8EF,i believe the use of this technology to read the emotional expressions of a student in a classroom is valuable.,Position,Adequate,en,20
0e5d095f7af2,0411A43FF828,the author of the article is right about the exploration of venus being a worthy pursuit.,Position,Adequate,en,16
5bfc73ad40f2,04147BBED91A,"the use of this technology to read the emotional expressions of students in a classroom could be valuable, or it could be a waste of time, depending on how you look at it.",Position,Adequate,en,33
5e605734b4a7,04217B837E28,scientist are till working on the planert wonderingthe same question as you why are we still working on this dangerus planet,Position,Ineffective,en,21
bcb395f36d13,044FD1AE9230,"there are many limiting car usage, through out the world,",Position,Ineffective,en,10
2bb7cac3fac3,04B4209D8A34,i agree that it should be mandatory for all students to participate in at least one extracurricular activity,Position,Adequate,en,18
f689e7feb8cb,04CD9AA9ECC5,my claim to do studying on venus is saying no i think spending so much time and money on something that has been tempted to do multiple times and failed is wasteful.,Position,Adequate,en,32
391c72a55f87,04FF4D9B5B3D,yes but no do i think this is valuable because i feel like my emotion's is my personal problems but if pschologist are using it to hep kids and people then yes i belive it is very valuable.,Position,Adequate,en,38
f04468bea831,0548DE784D69,"the challeange of exploring venus study venus is a pursuit to dangers, venus is the challenging planet to humans because of the diffculties.",Position,Ineffective,en,23
e74fcac92412,0557D6B9B3E5,the author couldn't be any better in this story on why even with it's dangers we on earth should venture out and see what venus is all about. giving us multiplie reasons why we need to find a way to get someone (or something) over there as soon as possible,Position,Adequate,en,50
a97e12032760,0581A6F4E804,the new technology used to undertstand facial expressions would be a valuable thing in a classroom,Position,Adequate,en,16
a99c06cc83a4,05C9186E77DF,i agree with dr. hung that the software would be useful to help decipher mixed emoitions.,Position,Effective,en,16
69c65c10e9b6,05E95229344B,so there's pros and cons in this i know that but deciding if its something i truly believe in then no.,Position,Adequate,en,21
fc524f7af595,06BE6D6749EA,there once was three citizen friends from boston who wanted who wanted to limit car usage to 70 percent they realized it was a good idea,Position,Adequate,en,26
37992f5647e5,071BF63AF332,schools should make it a requirement for all students participate in a extracurricular activity,Position,Adequate,en,14
4c2ee7d56e14,072BF1F05F66,the use of the facial action coding system to read the emotional expressions of students in a classroom is valuable,Position,Effective,en,20
9f078f11ffa4,077A62D46D30,the best way to ensure that students continue learning over break is to assign teacher-designed projects.,Position,Adequate,en,16
c6551a98569e,07D3CBDEFCEF,"emplimenting a computer system in schools that is capable of reading a students emotions is inappropriate, lazy, and dangerous.",Position,Effective,en,19
8cd0045c76c1,07ECEB4E4BE1,"in the article ""the challenge of exploring venus"" the author suggest that studing venus is worth while even though their are extreme dangers while doing it.",Position,Adequate,en,26
40ea6ed111a6,0821EB1AEDED,these projects that get assign should be more student-designed,Position,Adequate,en,9
cae823862850,082E19093947,here's why students should be allowed to come up with their own school project to make sure they continue learning over summer.,Position,Adequate,en,22
466833f05fdf,086603D5B319,". i don't agree that students should be forced to take one extracurricular activity,",Position,Adequate,en,14
e3eeee873427,08A6AD8C775B,"but as you can see in the pictures it's just a messa, a natural cause in nature, something that happens on earth, but it just so happened to look so much like a face from the possible clouds and blurry picture from the first",Position,Adequate,en,44
4681d2550939,090D5AC33481,"phone usage while driving should be prohibited in every state, country and continent!",Position,Adequate,en,13
5c69d2936a37,09133053C474,i think you should join too,Position,Adequate,en,6
c3707b440343,0961B819A4E9,i would agree to computers that can identify humans emotions would be pretty cool for our inverment.,Position,Adequate,en,17
c34ab25756f1,09770DECD26C,i think that students should do at least one extracurricular activity.,Position,Adequate,en,11
6d2284059d0a,099985A2A99C,the author article about studying venus is good. my opnion is that we should study venus because that can be a good thing for us,Position,Ineffective,en,25
723d85e86c96,09D40BD05847,there is nothing the facial action coding could do for people in the world if you ask me.,Position,Adequate,en,18
559eeee0cfa4,09DB075C4ACE,every teacher should use this in their class room because the teacher could see what each student is feeling inside,Position,Adequate,en,20
2929f3867c66,0A618B980D2D,i would join this program because i can help people in needs and i could travel and see things that i wanted to see a long time ago i could travel all around the world all day every day of the week.,Position,Adequate,en,42
da693397195e,0ABF4F99E166,the implementation of technology able to read the emotional expressions of children in the classroom is valuable for both the teachers and the students.,Position,Effective,en,24
271ec6c78981,0ACB0E08934E,"the ""facial action coding system"" is technology that can be used in the class room because some people can't figure out how good or bad someone is feeling.",Position,Adequate,en,28
5157df3b8808,0AD7535C58C0,"this negatively affects teens and their society, and should be strictly avoided.",Position,Adequate,en,12
00dec2023c50,0B606C33AC4D,car-free cities seem to be more safe.,Position,Adequate,en,7
af23c7b9c97d,0B81C3067FF2,"that the author did good job at explan the evidences like he saws,",Position,Ineffective,en,13
fd7df123f926,0B87B0B3278C,"in the article ""the challenge of exploring venus"" the author suggests that studying venus is a worthy pursuit despite the dangers it may present. the author then goes on to tell us all of his facts that back up his claim",Position,Adequate,en,41
3eee9aceab20,0B8A0777A6E5,limiting car usage could be a good thing for some people. only if they like to walk and do fun things with their lives.,Position,Adequate,en,24
c5e9a723847b,0BDD43321AFD,"schools must be aware that if summer projects are always going to be required, the assignments should be student-designed",Position,Adequate,en,19
56536c118079,0BF9F64D6FD1,"in a new modern classroom setting, students should have the liberty to design their own summer projects",Position,Effective,en,17
e6bc4916c669,0BFD128F5C01,join the seagoing cowboys program so you can help people in need! we think that you would be perfect for the program! here are some reasons why you should join!,Position,Adequate,en,30
f635fc9c8c9e,0C751C31DE85,the principal's idea of all students participating in at least one extracurricular activity is a bad idea,Position,Adequate,en,17
cc186c61fdf4,0C8DFEAE0ADA,i think luke's point of view of convincing people to go on a seagoing cowboy trip.,Position,Ineffective,en,16
72d80bd63901,0C8E8861F91A,i agree with the claim against the value of using this technology to read student's emotional expressions.,Position,Adequate,en,17
c4921c24f6df,0C952AD5C1EA,", they should not use cars",Position,Adequate,en,6
efac90557517,0D220BA8BA23,facs can be used in school for knowladge.,Position,Adequate,en,8
1b24924076f0,0D34A4F5331B,"in that work we gonna explain, give ideas and talk a little bit about the problems at the study of venus because that planet is very dangers to survival",Position,Adequate,en,29
24a9efd1355d,0D359BCEE452,by the author of this topic is really persauding by true facts where it makes u think.,Position,Ineffective,en,17
0965b6fcca6f,0D3AA8470CC4,limting use of aoto-mobiles can help change the envierment,Position,Adequate,en,9
3043c3d4bb98,0D45F6F0E185,"first of all, i feel like it's pretty reliable,",Position,Ineffective,en,9
652c5cf012cc,0D7FAACC389B,i feel like that the use of the emotional expressions of students in a class room is not good.,Position,Adequate,en,19
8cb9d52e5dd6,0D89C8189022,i do not belive it is true. i will believe it when i see it.,Position,Ineffective,en,15
e6be044be148,0D91FC8A9FE7,"so when it comes to the question ""should summer projects be teacher-designed or student-designed"" teacher-designed projects reign supreme, as it benefits both the student and the teacher in multiple different ways.",Position,Effective,en,31
c011fa1feaf7,0DB48DDD9022,"i feel like i am for the value of this use of technology, because you can calculate other peoples facial emotions and your facial movements.",Position,Adequate,en,25
5939f4967636,0DC3BDC76434,venus is a worthy pursuit because the more we know about our sister planet the more things we get to do with it.,Position,Ineffective,en,23
f9f421835316,0DDCAFAEA487,the face is a natral land form,Position,Adequate,en,7
7a7de1996f13,0DEDD9E3222F,"this software is a very good idea, for the teachers and the students too.",Position,Adequate,en,14
b268a5cdbe72,0E424AAB5B39,"in ""the challenge of exploring venus,"" the author suggests that studying venus is a worthy pursuit despite the dangers it presents",Position,Adequate,en,21
b00f58b5d941,0E49EB72AAA4,"although many people believe that the author doesn't support this idea well, the author provides researched evidence and past experiences all throughout the passage to support this idea.",Position,Effective,en,28
794f175c3677,0E5BCFB10650,the basis for summer projects to assure continuous learning should be student-designed,Position,Adequate,en,12
925d6539bda7,0E67436136BE,body: so me personally think this would be some great technology to have in our schools,Position,Adequate,en,16
a7a3335f4ed2,0E6BB199BF93,it is good to say that they must sign up in a activity in sports or yearbooks.,Position,Adequate,en,17
294a00ec8ee9,0EC4EF416F2F,the advantages of limiting car usage are very rare,Position,Ineffective,en,9
2d467a2ecc33,0ED28D8A5EC4,"the author talks about the challenge of exploring venis, he talks about how astronomers are interested in venis because it may once have be the most earth like planet in our solar system.",Position,Adequate,en,33
438817e9a395,0ED86BD7C2F0,i think that luke and don had a good reason to join that program.,Position,Adequate,en,14
9b6f909d1192,0EEE131E57EC,i think you should join the sea cowboy program because it would be a learning experience for all. the sea cowboy programis a life changing expirence that i think you would enjoy!,Position,Effective,en,32
3cc83c93439b,0F0059FAAF36,"love animals, water, or everything become a seagoing cowboy.",Position,Adequate,en,9
39aee3524bc4,0F10DC1AE015,i believe that all students should be required to participate in extracurricular activities.,Position,Adequate,en,13
cec88a31dcf3,0F2199921C33,the summer projects should be teacher designed,Position,Adequate,en,7
bedc8a855ff5,0F3F6283B13B,"there are many reasons that the face on mars is just a lanform,",Position,Adequate,en,13
c0f0a52668fc,0FD5B95A957D,which is why i think that summer projects should be student designed,Position,Adequate,en,12
b8834b6f0cdb,1006FE578078,"i don't agree that all students should have to participate in one extracurricular activity,",Position,Adequate,en,14
a44f41216a31,1028F5A588AA,i claim that the use of facs in a class room enviroment could have used but mostly believe it is not a valuable resource in class.,Position,Adequate,en,26
8e97dcbf20db,1037273E86D9,it's just a natural landform.,Position,Adequate,en,5
b2b0f67e96f4,103B05DC95C8,i'm here to tell you that the face on mars is not the face to a martian,Position,Adequate,en,17
dbf1373431e4,1065173BBE31,limiting car usage is a discrase,Position,Ineffective,en,6
9e4ab7773630,1073917E4351,"in the article, ""the challenge of exploring venus"",the author suggests that studying venus is worthy pursuit depite the danger to humans, the personal risks and approaching it presents.",Position,Adequate,en,28
ed4b452fd3f6,10D09AB4D6C7,i strongly disagree with the decision of my principal on this matter,Position,Adequate,en,12
b724fb904917,10F8D3AD9F03,being a seagoing cowboy would be a fun job to do,Position,Adequate,en,11
ee4dc6c6d368,11823089B61E,this story about venus talks about how nasa wants to study the planet.,Position,Adequate,en,13
831e339d744d,11950E4412E5,"to coincide with the theme of change and growth summer promotes, students should have the ability to choose their own projects, to further their educational experience and mental development, without the influence of a teacher.",Position,Effective,en,35
e1f8c8709b9a,11B9AC1814C8,the cost and risk of exploring venus is not worth the infromation we would achieve.,Position,Adequate,en,15
ffe547bdb117,1248C86D1F56,i think we should use the new technology in classroom,Position,Adequate,en,10
eaa22311a1c8,126BF47F3939,the use of this technology for a classroom full of students will not be valuable.,Position,Adequate,en,15
1600954b28a9,129497C3E0FC,the eirth is cool so why distroit with gasis or something,Position,Adequate,en,11
8dca3c5fdb69,12A49BF3B556,"i feel as though, the principle has made the right desicion.",Position,Adequate,en,11
d4ab33e57373,12A61F91FC80,i think that this new technology can be very valuable for teachers in schools to know when a student is sad or upset.,Position,Adequate,en,23
b6407becbad9,12C08C0F6EE1,"the new programing will be a positive thing,",Position,Adequate,en,8
cf8f52b2f8b1,1300CBEB1F39,i stand with the principle on his decision,Position,Adequate,en,8
88e0752c81a4,1313ADFE62C6,"if my principal ever decided to make students participate in an extracurricular activity, i would agree with their decision. joining certain extracurricular activities can bring many benefits to students' lives and open up more opportunities for them in the future. think about all the things you could learn through extracurricular activities.",Position,Effective,en,51
973fced8f286,131614E5C301,"by not using our cars as much, we can help ourselves and everyone aroud us by making a better world that makes it better for our children, or even our childrens' children.",Position,Effective,en,32
88c9fb0a5101,13326EED1708,"yes i agree that venus is dangerous place, but scientists are trying to find ways to dicover and learn more about venus.",Position,Adequate,en,22
e3dc79d38739,135D6AEDDA9F,scientists believed the face was an alien artifact . it actually was not.,Position,Adequate,en,13
e08324983079,13C74967CE1B,"in the article ""the challenge of exploring venus"" the author gives us reasons why exploring venus would be very difficult. but, at the same time, the author gives us reasons why it's important to explore venus. it's because venus is earth like, and so we might be able to visit it one day.",Position,Ineffective,en,53
ee62f1bb4a1b,13E8EE063566,"although, cars are used very often and are a useful form of transportation, they are also very hamful. taking a break from driving isn't a bad idea.",Position,Effective,en,27
94d64543ccc9,1449A333A335,"it is the students' break, so they may want to decide what projects they have to do. summer projects should be student-designed",Position,Effective,en,22
460711c064a1,144FB09B0949,"in ""the challenge of exploring venus"", the author supports the idea of studying venus through research and data that has been collected thoughout the years.",Position,Adequate,en,25
d11823257a13,1463D1D9EC8F,i agree with the principal for making everyone stay after school for a extracurricular activity,Position,Adequate,en,15
4c1209daa1c7,1497D777FE12,teachers should design the summer projects rather than students,Position,Adequate,en,9
289b0e2492ec,14A542270754,what if summer projects were mostly student-designed? the more you think about it the more it makes sense.,Position,Adequate,en,18
9364c35f7263,14B366E0D9CA,"technology is a valuable resource for students. the new technology called the ""facial actions coding system"" would be great for students.",Position,Adequate,en,21
55e340049e83,14FE56852B95,"therefore, yes i think this new technology would work because the three-d model can detect the true feelings you have and calculate it",Position,Adequate,en,23
09116a76686d,151F9011BF04,the author supports this claim by stating that the insight to be gained is significant and by offering methods for obtaining these insights despite the danger that is readily appearant.,Position,Adequate,en,30
0a255613746c,1541D4F15A1B,this is why technology that reads emotions can be very useful,Position,Adequate,en,11
637428649c30,155ADE36AE80,"the so called ""face"" provided in the image is what i believe a natural landform, although some peoples thoughts differ",Position,Adequate,en,20
7b60ceb389e8,15810FF4CB38,i personality will like to have technology to read my emotional expressions . it would be fun to have that in school .,Position,Adequate,en,23
b7959c42b1d2,15A4F9A6C915,the author supports this idea because he or she says venus is too dangerous for astronuts to go to and study.,Position,Ineffective,en,21
a8382220949c,15C47E28278D,the technology that is being deveolped is valuable,Position,Adequate,en,8
1421991d80c5,15DF5443F192,but now i see we need to have a change and just start walking and finding another way other then our cars,Position,Adequate,en,22
dac2148d87e8,15E106AF20A7,you would never know if there are creatures like ous that have a abiliy to explore space. we should keep trying even if there is only a 0.0000001 chance.,Position,Ineffective,en,29
88cf1833cb70,163F5BC5FDF3,there are many advantages of limiting car usage,Position,Ineffective,en,8
